Date,Children_Apprehended_CBP,CBP_Care_Load,Transfers_to_HHS,HHS_Care_Load,Discharges_from_HHS,Placement_Demand
2024-04-01,145,510,118,620,104,116
2024-04-02,152,518,124,634,108,121
2024-04-03,160,530,132,648,110,124
2024-04-04,168,544,138,666,112,128
2024-04-05,174,558,145,684,115,132
2024-04-06,182,571,151,701,117,136
2024-04-07,176,579,148,714,120,139
2024-04-08,166,574,141,720,125,143
2024-04-09,158,566,134,718,129,147
2024-04-10,150,552,126,710,133,151
2024-04-11,142,538,119,700,136,154
2024-04-12,138,526,114,688,140,157
2024-04-13,146,531,121,678,142,159
2024-04-14,154,542,128,672,145,162
2024-04-15,162,556,136,670,148,165
2024-04-16,171,572,144,676,150,168
2024-04-17,179,588,151,688,153,171
2024-04-18,186,603,158,702,156,175
2024-04-19,192,617,164,718,158,178
2024-04-20,198,630,170,735,160,181
2024-04-21,190,636,165,748,162,183
2024-04-22,181,628,156,752,165,186
2024-04-23,173,615,148,748,168,189
2024-04-24,165,600,139,738,171,192
2024-04-25,158,584,132,724,174,195
2024-04-26,151,570,126,709,177,198
2024-04-27,148,562,122,696,179,200
2024-04-28,155,568,128,686,181,202
2024-04-29,163,579,135,680,183,204
2024-04-30,170,592,142,679,185,206
