Date,Children_Apprehended_CBP,CBP_Care_Load,Transfers_to_HHS,HHS_Care_Load,Discharges_from_HHS,Placement_Demand
2023-01-01,110,420,90,500,110,130
2023-01-02,118,430,95,510,120,138
2023-01-03,124,440,100,525,121,142
2023-01-04,116,435,98,520,122,140
2023-01-05,114,425,92,515,124,138
2023-01-06,120,430,94,518,126,139
2023-01-07,130,438,102,530,135,148
2023-01-08,129,445,104,538,133,149
2023-01-09,121,440,101,534,128,146
2023-01-10,127,448,108,542,136,152
2023-01-11,136,460,114,553,142,160
2023-01-12,141,472,118,565,146,170
2023-01-13,138,469,116,562,144,165
2023-01-14,132,458,110,555,140,158
2023-01-15,128,450,105,548,138,152
2023-01-16,119,442,98,540,132,146
2023-01-17,124,446,101,544,135,149
2023-01-18,134,452,107,550,138,154
2023-01-19,138,458,112,556,141,160
2023-01-20,146,470,120,570,148,172
2023-01-21,150,478,126,578,152,179
2023-01-22,155,486,130,589,154,186
2023-01-23,149,480,124,583,150,174
2023-01-24,146,472,119,575,147,166
2023-01-25,136,465,111,568,142,160
2023-01-26,141,470,116,572,145,164
2023-01-27,148,480,121,580,149,172
2023-01-28,153,486,127,588,155,179
2023-01-29,160,497,135,594,161,191
2023-01-30,166,505,138,603,167,198
2023-01-31,170,510,142,612,171,204
2023-02-01,172,518,145,622,174,210
2023-02-02,179,528,150,635,180,218
2023-02-03,185,536,158,646,185,225
2023-02-04,188,544,162,654,190,232
2023-02-05,191,552,170,664,196,238
2023-02-06,194,560,174,673,201,245
2023-02-07,198,568,178,682,206,250
2023-02-08,205,579,184,696,212,258
2023-02-09,210,590,191,708,220,269
2023-02-10,214,600,198,720,226,278
2023-02-11,218,608,203,732,232,284
2023-02-12,223,620,210,746,240,294
2023-02-13,228,631,216,758,245,300
2023-02-14,230,638,219,766,248,305
2023-02-15,236,646,225,778,254,312
2023-02-16,240,654,232,788,260,318
2023-02-17,238,652,230,785,258,314
2023-02-18,234,648,226,780,255,311
2023-02-19,228,640,220,772,252,306
2023-02-20,224,632,216,764,248,300
2023-02-21,219,624,210,756,242,290
2023-02-22,212,615,205,748,236,282
2023-02-23,208,608,199,740,230,274
2023-02-24,203,597,194,731,224,266
2023-02-25,198,594,188,724,220,260
2023-02-26,193,586,182,716,215,252
2023-02-27,188,580,176,708,209,246
2023-02-28,184,574,170,700,206,240
2023-03-01,180,568,168,692,204,236
2023-03-02,175,560,164,684,198,230
2023-03-03,170,554,158,676,194,226
2023-03-04,165,548,152,668,188,220
2023-03-05,160,540,150,660,183,214
2023-03-06,155,532,146,652,176,208
2023-03-07,150,524,141,646,170,202
2023-03-08,145,518,136,640,165,196
2023-03-09,142,512,132,634,161,188
2023-03-10,149,520,138,642,167,194
2023-03-11,154,527,144,650,172,200
2023-03-12,160,536,151,660,180,210
2023-03-13,166,544,158,670,186,220
2023-03-14,173,552,166,680,192,228
2023-03-15,180,562,172,690,198,236
2023-03-16,188,574,180,704,204,246
2023-03-17,196,586,188,718,213,256
2023-03-18,204,598,196,732,222,268
2023-03-19,212,610,205,744,230,280
